Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
1,Airport,285,Trip Completed,11/7/2016 0:20,11/7/2016 0:51
2,Airport,NA,No Cars Available,11/7/2016 0:23,NA
3,Airport,80,Trip Completed,11/7/2016 0:24,11/7/2016 1:31
4,City,NA,No Cars Available,11/7/2016 0:37,NA
5,Airport,264,Trip Completed,11/7/2016 0:36,11/7/2016 1:35
6,City,NA,No Cars Available,11/7/2016 0:36,NA
7,Airport,NA,No Cars Available,11/7/2016 0:30,NA
8,City,NA,No Cars Available,11/7/2016 0:40,NA
9,Airport,235,Trip Completed,11/7/2016 0:45,11/7/2016 2:00
10,City,228,Trip Completed,11/7/2016 0:54,11/7/2016 1:59
11,City,198,Trip Completed,11/7/2016 1:00,11/7/2016 1:53
12,City,NA,No Cars Available,11/7/2016 1:08,NA
13,City,119,Trip Completed,11/7/2016 1:08,11/7/2016 1:58
14,Airport,NA,No Cars Available,11/7/2016 1:10,NA
15,City,NA,No Cars Available,11/7/2016 1:15,NA
16,Airport,NA,No Cars Available,11/7/2016 1:09,NA
17,Airport,NA,No Cars Available,11/7/2016 1:16,NA
18,City,201,Cancelled,11/7/2016 1:16,NA
19,City,NA,No Cars Available,11/7/2016 1:14,NA
20,Airport,NA,No Cars Available,11/7/2016 1:23,NA
21,Airport,194,Trip Completed,11/7/2016 1:29,11/7/2016 2:05
22,Airport,NA,No Cars Available,11/7/2016 1:40,NA
23,City,NA,No Cars Available,11/7/2016 1:38,NA
24,Airport,NA,No Cars Available,11/7/2016 1:48,NA
25,Airport,NA,No Cars Available,11/7/2016 1:45,NA
26,Airport,NA,No Cars Available,11/7/2016 1:49,NA
27,Airport,NA,No Cars Available,11/7/2016 1:49,NA
28,City,NA,No Cars Available,11/7/2016 2:02,NA
29,City,NA,No Cars Available,11/7/2016 1:55,NA
30,Airport,297,Trip Completed,11/7/2016 2:04,11/7/2016 2:37
31,City,NA,No Cars Available,11/7/2016 2:10,NA
32,Airport,NA,No Cars Available,11/7/2016 2:15,NA
33,Airport,170,Trip Completed,11/7/2016 2:17,11/7/2016 3:31
34,City,78,Trip Completed,11/7/2016 2:20,11/7/2016 3:34
35,City,107,Trip Completed,11/7/2016 2:36,11/7/2016 3:03
36,City,NA,No Cars Available,11/7/2016 2:33,NA
37,Airport,NA,No Cars Available,11/7/2016 2:34,NA
38,City,NA,No Cars Available,11/7/2016 2:39,NA
39,Airport,NA,No Cars Available,11/7/2016 2:48,NA
40,Airport,NA,No Cars Available,11/7/2016 2:42,NA
41,City,109,Trip Completed,11/7/2016 2:47,11/7/2016 3:23
42,Airport,NA,No Cars Available,11/7/2016 2:55,NA
43,City,NA,No Cars Available,11/7/2016 3:06,NA
44,Airport,NA,No Cars Available,11/7/2016 3:07,NA
45,Airport,12,Trip Completed,11/7/2016 3:17,11/7/2016 4:09
46,Airport,NA,No Cars Available,11/7/2016 3:16,NA
47,City,124,Trip Completed,11/7/2016 3:22,11/7/2016 4:35
48,City,150,Trip Completed,11/7/2016 3:14,11/7/2016 4:19
49,Airport,NA,No Cars Available,11/7/2016 3:29,NA
50,City,100,Trip Completed,11/7/2016 3:22,11/7/2016 3:57
51,City,86,Trip Completed,11/7/2016 3:34,11/7/2016 4:33
52,City,NA,No Cars Available,11/7/2016 3:30,NA
53,Airport,95,Trip Completed,11/7/2016 3:30,11/7/2016 4:22
54,City,NA,No Cars Available,11/7/2016 3:34,NA
55,Airport,NA,No Cars Available,11/7/2016 3:41,NA
56,City,NA,No Cars Available,11/7/2016 3:58,NA
57,City,NA,No Cars Available,11/7/2016 3:52,NA
58,Airport,NA,No Cars Available,11/7/2016 4:03,NA
59,City,NA,No Cars Available,11/7/2016 3:58,NA
60,City,141,Trip Completed,11/7/2016 3:57,11/7/2016 4:46
61,Airport,NA,No Cars Available,11/7/2016 4:05,NA
62,Airport,NA,No Cars Available,11/7/2016 4:10,NA
63,Airport,NA,No Cars Available,11/7/2016 4:17,NA
64,City,52,Trip Completed,11/7/2016 4:16,11/7/2016 5:28
65,Airport,NA,No Cars Available,11/7/2016 4:23,NA
66,City,255,Trip Completed,11/7/2016 4:21,11/7/2016 4:54
67,Airport,NA,No Cars Available,11/7/2016 4:24,NA
68,Airport,NA,No Cars Available,11/7/2016 4:27,NA
69,Airport,NA,No Cars Available,11/7/2016 4:27,NA
70,City,80,Trip Completed,11/7/2016 4:34,11/7/2016 5:30
71,City,NA,No Cars Available,11/7/2016 4:37,NA
72,City,NA,No Cars Available,11/7/2016 4:36,NA
73,Airport,NA,No Cars Available,11/7/2016 4:36,NA
74,Airport,239,Trip Completed,11/7/2016 4:38,11/7/2016 5:44
75,Airport,NA,No Cars Available,11/7/2016 4:40,NA
76,City,158,Cancelled,11/7/2016 4:45,NA
77,City,171,Cancelled,11/7/2016 4:46,NA
78,City,NA,No Cars Available,11/7/2016 4:45,NA
79,City,NA,No Cars Available,11/7/2016 4:43,NA
80,City,3,Cancelled,11/7/2016 4:47,NA
81,Airport,73,Trip Completed,11/7/2016 4:47,11/7/2016 6:00
82,Airport,290,Trip Completed,11/7/2016 4:47,11/7/2016 5:23
83,City,NA,No Cars Available,11/7/2016 4:44,NA
84,City,28,Trip Completed,11/7/2016 4:50,11/7/2016 5:26
85,City,144,Cancelled,11/7/2016 4:47,NA
86,City,174,Cancelled,11/7/2016 4:51,NA
